,Name,name,typee,sector,country,joinnned_on
11575,,"Nippon Shinyaku CO., LTD.",Company,Pharmaceuticals & Biotechnology,Japan,2020-01-13
11576,,Cafu,Small or Medium-sized Enterprise,"Oil, gas, & coal",United Arab Emirates,2020-01-13
11577,,Tresda Irrigation Limited,Small or Medium-sized Enterprise,Construction & Materials,Nigeria,2020-01-13
11578,,Municipalidad de Recreo,City,Not Applicable,Argentina,2020-01-10
11579,,Minera Pangea SA DE CV,Small or Medium-sized Enterprise,Industrial metals and mining,Mexico,2020-01-10
11580,,PLAN AUTOMOTOR ECUATORIANO S.A. PLANAUTOMOTOR,Small or Medium-sized Enterprise,Diversified,Ecuador,2020-01-10
11581,,Smart Global Governance,Small or Medium-sized Enterprise,Software & Computer Services,France,2020-01-09
11582,,Knauf Industries,Company,General Industrials,France,2020-01-09
11583,,INGENOVA,Small or Medium-sized Enterprise,Technology Hardware & Equipment,France,2020-01-09
11584,,r2p GmbH,Small or Medium-sized Enterprise,Diversified,Germany,2020-01-09
11585,,EGGER Holzwerkstoffe GmbH,Company,Industrial materials,Austria,2020-01-09
11586,,The Corporate Gym & Wellbeing,Small or Medium-sized Enterprise,Real Estate Investment & Services development,France,2020-01-09
11587,,One Logic Consulting Group,Small or Medium-sized Enterprise,Software & Computer Services,France,2020-01-09
11588,,Aquaporin A/S,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Denmark,2020-01-09
11589,,VDLV,Small or Medium-sized Enterprise,Chemicals,France,2020-01-09
11590,,gmp Architekten,Company,Construction & Materials,Germany,2020-01-09
11591,,Brigo AB,Small or Medium-sized Enterprise,Industrial Engineering,Sweden,2020-01-09
11592,,ETEX N.V.,Company,Construction & Materials,Belgium,2020-01-09
11593,,"Velliv, Pension & Livsforsikring A/S",Company,Financial Services,Denmark,2020-01-09
11594,,Koninklijke Van der Most,Small or Medium-sized Enterprise,General Industrials,Netherlands,2020-01-09
11595,,Forster Verkehrs- und Werbetechnik GmbH,Company,General Industrials,Austria,2020-01-09
11596,,PvB Pernet von Ballmoos AG,Small or Medium-sized Enterprise,Financial Services,Switzerland,2020-01-09
11597,,Helvetas Swiss Intercooperation,NGO Global,Not Applicable,Switzerland,2020-01-09
11598,,CDE Asia Limited,Small or Medium-sized Enterprise,Industrial Engineering,India,2020-01-09
11599,,True Soul Media PLT (The Iskandarian),Small or Medium-sized Enterprise,Media,Malaysia,2020-01-08
11600,,Logicare Private Limited,Small or Medium-sized Enterprise,Industrial Support Services,Sri Lanka,2020-01-08
11601,,Mega Disposables S.A.,Company,Personal Goods,Greece,2020-01-08
11602,,Servico de Apoio as Micro e Pequenas Empresas no Amazonas (SEBRAE/AM),Business Association Local,Not Applicable,Brazil,2020-01-07
11603,,Compania Azucarera Tres Valles S.A. de C.V.,Company,Food Producers,Honduras,2020-01-07
11604,,Solidaridad Brasil,NGO Global,Not Applicable,Brazil,2020-01-07
11605,,Confederation of Danish Employers,Business Association Local,Not Applicable,Denmark,2020-01-07
11606,,Kerberos Compliance - Managementsysteme GmbH,Small or Medium-sized Enterprise,Diversified,Germany,2020-01-07
11607,,Landis+Gyr Group AG,Company,Electronic & Electrical Equipment,Switzerland,2020-01-07
11608,,Steward Redqueen B.V.,Small or Medium-sized Enterprise,Diversified,Netherlands,2020-01-07
11609,,Schill+Seilacher GmbH,Company,Chemicals,Germany,2020-01-07
11610,,NORWE GmbH,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Germany,2020-01-07
11611,,TRI SAS,Small or Medium-sized Enterprise,General Industrials,France,2020-01-07
11612,,Visolit AS,Company,Software & Computer Services,Norway,2020-01-07
11613,,Machalico S.A.,Small or Medium-sized Enterprise,Food Producers,Egypt,2020-01-07
11614,,Spoon Consulting Ltd,Small or Medium-sized Enterprise,Software & Computer Services,Mauritius,2020-01-07
11615,,UIPM USA,Academic,Not Applicable,United States of America,2020-01-06
11616,,MAGLIFICIO PO SRL,Small or Medium-sized Enterprise,Personal Goods,Italy,2020-01-06
11617,,M&C Saatchi Worldwide,Company,Diversified,United Kingdom,2020-01-06
11618,,The University of Leeds,Academic,Not Applicable,United Kingdom,2020-01-06
11619,,"SimpliPhi Power, Inc.",Small or Medium-sized Enterprise,Technology Hardware & Equipment,United States of America,2020-01-06
11620,,È COSÌ SRL,Small or Medium-sized Enterprise,Chemicals,Italy,2020-01-06
11621,,Hillrom,Company,Medical equipment and services; Health care providers,France,2020-01-06
11622,,Fill it Forward,Small or Medium-sized Enterprise,Diversified,Canada,2020-01-06
11623,,Translators without Borders,NGO Global,Not Applicable,United States of America,2020-01-06
11624,,L´Oréal Deutschland GmbH,Company,Personal Goods,Germany,2020-01-06
11625,,ProSiebenSat.1 Media SE,Company,Media,Germany,2020-01-06
11626,,Schroders PLC,Company,Financial Services,United Kingdom,2020-01-06
11627,,Dataforce Verlagsgesellschaft für Business Informationen mbH,Small or Medium-sized Enterprise,Diversified,Germany,2020-01-06
11628,,"HKS, Inc.",Company,Real Estate Investment & Services development,United States of America,2020-01-06
11629,,OCO Global Limited,Small or Medium-sized Enterprise,Diversified,United Kingdom,2020-01-06
11630,,Idea ja Tuotanto Wolt Oy - Woltti Group,Small or Medium-sized Enterprise,Media,Finland,2020-01-06
11631,,Gowling WLG Canada,Company,Financial Services,Canada,2020-01-06
11632,,Kuehne + Nagel Management AG,Company,Diversified,Switzerland,2020-01-06
11633,,"Kalsec, Inc.",Company,Diversified,United States of America,2020-01-06
11634,,ArcBest,Company,Diversified,United States of America,2020-01-06
11635,,ContentCal,Small or Medium-sized Enterprise,Software & Computer Services,United Kingdom,2020-01-06
11636,,World Green Building Council,NGO Global,Not Applicable,United States of America,2020-01-06
11637,,Italcanditi spa,Company,Food Producers,Italy,2020-01-06
11638,,ABC Technologies Inc.,Company,Automobiles & Parts,Canada,2020-01-06
11639,,"Ventas, Inc.",Company,Real Estate Investment Trusts,United States of America,2020-01-06
11640,,"Illumina, Inc.",Company,Pharmaceuticals & Biotechnology,United States of America,2020-01-06
11641,,"TENTIA CONSULTING GROUP, S.A de C.V",Small or Medium-sized Enterprise,Software & Computer Services,Mexico,2020-01-03
11642,,HONORABLE GOBIERNO PROVINCIAL DE TUNGURAHUA,City,Not Applicable,Ecuador,2020-01-03
11643,,ABI - ACADEMIA BRASILEIRA DE INVESTIGACAO LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2020-01-03
11644,,Ukrainian Business Association (Business 100),Business Association Local,Not Applicable,Ukraine,2020-01-03
11645,,Ivano-Frankivsk Regional State Administration,Public Sector Organization,Not Applicable,Ukraine,2019-12-31
11646,,"Putian Bellatemps Electronic Co., Ltd.",Small or Medium-sized Enterprise,Electronic & Electrical Equipment,China,2019-12-31
11647,,Kyiv-Mohyla Business School,Small or Medium-sized Enterprise,Industrial Support Services,Ukraine,2019-12-31
11648,,"T1 Solution, s.r.o.",Small or Medium-sized Enterprise,Software & Computer Services,Czechia,2019-12-31
