,Name,name,typee,sector,country,joinnned_on
0,,GS1 Canada,Business Association Local,Not Applicable,Canada,2023-03-17
1,,BRP,Company,Automobiles & Parts,Canada,2023-03-17
2,,Axtria,Company,Pharmaceuticals & Biotechnology,United States of America,2023-03-17
3,,Rimes,Company,Software & Computer Services,United States of America,2023-03-17
4,,Bergen Shippers,Company,Industrial Support Services,United States of America,2023-03-17
5,,Common Thread,Small or Medium-sized Enterprise,Diversified,United States of America,2023-03-17
6,,CFJ Manufacturing Inc,Small or Medium-sized Enterprise,Retailers,United States of America,2023-03-17
7,,RSM US LLP,Company,Finance and credit services,United States of America,2023-03-17
8,,"EVOTEK, Inc.",Small or Medium-sized Enterprise,Software & Computer Services,United States of America,2023-03-17
9,,HALO Branded Solutions,Company,Personal Goods,United States of America,2023-03-17
10,,ANGULAS AGUINAGA SA,Company,Food Producers,Spain,2023-03-17
11,,Cool Company Ltd,Company,Industrial Transportation,Bermuda,2023-03-17
12,,PRIM,Company,Medical equipment and services; Health care providers,Spain,2023-03-17
13,,"Beijing Lanwen Culture Communication Co., Ltd 北京澜文文化传播有限公司",Small or Medium-sized Enterprise,Diversified,China,2023-03-15
14,,Espace Transit,Small or Medium-sized Enterprise,Industrial Transportation,Morocco,2023-03-14
15,,PANEK INVESTMENTS CO,Small or Medium-sized Enterprise,Retailers,Kenya,2023-03-14
16,,DELOITTE KENYA,Company,Diversified,Kenya,2023-03-14
17,,Isuzu East Africa Ltd,Company,Automobiles & Parts,Kenya,2023-03-14
18,,Flipside Corporation ME LLC,Small or Medium-sized Enterprise,Diversified,United Arab Emirates,2023-03-14
19,,Agile Freaks SRL,Small or Medium-sized Enterprise,Software & Computer Services,Bosnia-Herzegovina,2023-03-14
20,,Agile Freaks NGO,NGO Local,Not Applicable,Bosnia-Herzegovina,2023-03-14
21,,CGT & Associates Chartered Accountants,Small or Medium-sized Enterprise,Diversified,Lesotho,2023-03-14
22,,Fertiglobe plc,Company,Chemicals,United Arab Emirates,2023-03-14
23,,Maintenance Management Group MMG sal,Small or Medium-sized Enterprise,Diversified,Lebanon,2023-03-14
24,,MUSINGIKA TOURISM COMPANY LIMITED,Small or Medium-sized Enterprise,Travel & Leisure,Uganda,2023-03-14
25,,Karl Marbach GmbH & Co. KG,Company,General Industrials,Germany,2023-03-13
26,,d&b audiotechnik GmbH & CO KG,Company,Electronic & Electrical Equipment,Germany,2023-03-13
27,,PCC Poland Sp. z o.o.,Small or Medium-sized Enterprise,Industrial Support Services,Poland,2023-03-13
28,,ING Bank Śląski SA,Company,Banks,Poland,2023-03-13
29,,Intereko Energia sp. z o.o.,Small or Medium-sized Enterprise,Industrial Support Services,Poland,2023-03-13
30,,Formative Content,Small or Medium-sized Enterprise,Media,United Kingdom,2023-03-13
31,,"Accolade, s.r.o.",Small or Medium-sized Enterprise,Real Estate Investment & Services development,Czechia,2023-03-13
32,,Slovenská informačná a marketingová spoločnosť,Small or Medium-sized Enterprise,Diversified,Slovakia,2023-03-13
33,,LRQA Limited,Company,Diversified,United Kingdom,2023-03-13
34,,Wondernet Express Investment Group,Small or Medium-sized Enterprise,Industrial Transportation,Georgia,2023-03-13
35,,Van Ameyde UK LTD,Small or Medium-sized Enterprise,Nonlife Insurance,United Kingdom,2023-03-13
36,,Control Union Certifications Germany GmbH,Small or Medium-sized Enterprise,Diversified,Germany,2023-03-13
37,,RIFT,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Netherlands,2023-03-13
38,,Azerbaijan HR Institute,Small or Medium-sized Enterprise,Industrial Support Services,Azerbaijan,2023-03-13
39,,Sewtec Automation Limited,Small or Medium-sized Enterprise,Industrial Engineering,United Kingdom,2023-03-13
40,,CNX Therapeutics Limited,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,United Kingdom,2023-03-13
41,,GP JOULE GmbH,Company,Alternative Energy,Germany,2023-03-13
42,,Panda Litho Ltd t/a Pandaprint,Small or Medium-sized Enterprise,Diversified,United Kingdom,2023-03-13
43,,TIP S.p.A.,Small or Medium-sized Enterprise,Investment banking and brokerage services,Italy,2023-03-13
44,,Aleph Farms,Small or Medium-sized Enterprise,Food Producers,Israel,2023-03-13
45,,ACREDIA Versicherung AG,Small or Medium-sized Enterprise,Nonlife Insurance,Austria,2023-03-13
46,,CDM Smith SE,Company,Diversified,Germany,2023-03-13
47,,VWS Befestigungstechnik GmbH,Small or Medium-sized Enterprise,Construction & Materials,Germany,2023-03-13
48,,Aldagi,Company,Nonlife Insurance,Georgia,2023-03-13
49,,secunet Security Networks AG,Company,Software & Computer Services,Germany,2023-03-13
50,,PERI SE,Company,Construction & Materials,Germany,2023-03-13
51,,Gemac Chemnitz GmbH,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Germany,2023-03-13
52,,sdm Società benefit srl,Small or Medium-sized Enterprise,Software & Computer Services,Italy,2023-03-13
53,,Skat Consulting Ltd.,Small or Medium-sized Enterprise,Diversified,Switzerland,2023-03-13
54,,PROCOS Group,Small or Medium-sized Enterprise,Software & Computer Services,Belgium,2023-03-13
55,,Skin Vision B.V.,Small or Medium-sized Enterprise,Medical equipment and services; Health care providers,Netherlands,2023-03-13
56,,AMT (Agentur für Markenträume),Small or Medium-sized Enterprise,Diversified,Germany,2023-03-13
57,,Heidelberger Druckmaschinen AG,Company,Industrial Engineering,Germany,2023-03-13
58,,Carlsberg Poland,Company,Beverages,Poland,2023-03-13
59,,Stermanns Etiketten GmbH,Small or Medium-sized Enterprise,Industrial Support Services,Germany,2023-03-13
60,,Cushman & Wakefield Polska Sp. z o.o.,Small or Medium-sized Enterprise,Real Estate Investment & Services development,Poland,2023-03-13
61,,OSCO sdn bhd,Small or Medium-sized Enterprise,Diversified,Brunei Darussalam,2023-03-12
62,,Kanematsu Corporation,Company,Diversified,Japan,2023-03-12
63,,Kantar Mantle Pte Ltd,Small or Medium-sized Enterprise,Diversified,Singapore,2023-03-12
64,,PT Domas Agrointi Prima,Company,Chemicals,Indonesia,2023-03-12
65,,"NIPPON FINE CHEMICAL CO.,LTD.",Company,Chemicals,Japan,2023-03-12
66,,Skyline Express Information Technology Services,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Afghanistan,2023-03-12
67,,Max Solution (M) Sdn Bhd,Small or Medium-sized Enterprise,Software & Computer Services,Malaysia,2023-03-12
68,,PT. Bank Rakyat Indonesia (Persero) Tbk.,Company,Banks,Indonesia,2023-03-12
69,,CONFEDERAÇÃO DAS COOPERATIVAS DE CRÉDITO,Business Association Local,Not Applicable,Brazil,2023-03-10
70,,PETRORECONCAVO,Company,"Oil, gas, & coal",Brazil,2023-03-10
71,,INSTITUTO DA QUALIDADE AUTOMOTIVA - IQA,Business Association Local,Not Applicable,Brazil,2023-03-09
72,,Stattus4 Cidades Inteligentes e Sustentabilidade Ltda,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2023-03-09
73,,Banco atitude,Small or Medium-sized Enterprise,Banks,Brazil,2023-03-09
74,,ESCOLA VIVA LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2023-03-09
75,,ALEMANIA CELL,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Paraguay,2023-03-09
76,,Longitude,Small or Medium-sized Enterprise,Construction & Materials,Brazil,2023-03-09
77,,RECAL CALDEIRARIA E ESTRUTURAS LTDA,Small or Medium-sized Enterprise,General Industrials,Brazil,2023-03-09
78,,COMTXAE EDUCAÇÃO CULTURA E TECNOLOGIA LTDA,Small or Medium-sized Enterprise,Alternative Energy,Brazil,2023-03-09
79,,"BOTREE CYCLING SCI & TECH CO.,LTD",Small or Medium-sized Enterprise,Technology Hardware & Equipment,China,2023-03-09
80,,LAGAR H AGROINDUSTRIA LTDA,Small or Medium-sized Enterprise,Food Producers,Brazil,2023-03-09
81,,Reichert Security Services (Pvt.) Ltd,Company,Diversified,Pakistan,2023-03-09
82,,Adrián Hoteles,Company,Travel & Leisure,Spain,2023-03-09
83,,SINDICATO DAS EMPRESAS DE ÔNIBUS DA CIDADE DO RIO DE JANEIRO – RIO ÔNIBUS,Business Association Local,Not Applicable,Brazil,2023-03-09
84,,"VALEX SERVICE co,. Ltd.",Company,Industrial Support Services,"Korea, Republic of",2023-03-09
85,,"VALEX Expert Cargo co.,Ltd",Company,Diversified,"Korea, Republic of",2023-03-09
86,,"Innovación Murarte, S.L.",Small or Medium-sized Enterprise,Diversified,Spain,2023-03-09
87,,PT Mowilex Indonesia,Company,Construction & Materials,Indonesia,2023-03-09
88,,Isetan Mitsukoshi Holdings Ltd.,Company,Retailers,Japan,2023-03-09
89,,UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.,Company,Chemicals,Brazil,2023-03-09
90,,Aliare,Company,Software & Computer Services,Brazil,2023-03-09
91,,Equifax Paraguay S.A.,Small or Medium-sized Enterprise,Diversified,Paraguay,2023-03-08
92,,20 Microns Limited,Small or Medium-sized Enterprise,Chemicals,India,2023-03-08
93,,NEXIA SINGAPORE PAC,Small or Medium-sized Enterprise,Finance and credit services,Singapore,2023-03-08
94,,Tune Protect Group,Company,Nonlife Insurance,Malaysia,2023-03-08
95,,Global Merchants & Logistics Pvt. Ltd.,Small or Medium-sized Enterprise,Diversified,Nepal,2023-03-08
96,,United Overseas Bank (Thai) Public Company Limited,Company,Banks,Thailand,2023-03-08
97,,Microland Limited,Company,Software & Computer Services,India,2023-03-08
98,,Southern Cross Cargo,Small or Medium-sized Enterprise,Diversified,Australia,2023-03-08
99,,Paragon Globe Berhad,Small or Medium-sized Enterprise,Construction & Materials,Malaysia,2023-03-08
100,,"KOREA Vegetables & Fruits co., Ltd",Small or Medium-sized Enterprise,Diversified,"Korea, Republic of",2023-03-08
101,,WIN FUNG FIBREGLASS SDN. BHD.,Small or Medium-sized Enterprise,General Industrials,Malaysia,2023-03-08
102,,FeelGood EcoNurture LLP,Small or Medium-sized Enterprise,Diversified,India,2023-03-08
103,,AUCNET INC.,Company,Diversified,Japan,2023-03-08
104,,17 Triggers Consulting Asia Co. Ltd.,Small or Medium-sized Enterprise,Diversified,Cambodia,2023-03-08
105,,Pantech C&I,Small or Medium-sized Enterprise,Software & Computer Services,"Korea, Republic of",2023-03-08
106,,"PNS Networks Co., Ltd",Small or Medium-sized Enterprise,Industrial Support Services,"Korea, Republic of",2023-03-08
107,,"PNS Logis co.,Ltd.",Company,Industrial Transportation,"Korea, Republic of",2023-03-08
108,,Pantech C&I Engineering,Small or Medium-sized Enterprise,Telecommunications equipment; telecommunications service providers,"Korea, Republic of",2023-03-08
109,,SKC Infra Service,Small or Medium-sized Enterprise,Telecommunications equipment; telecommunications service providers,"Korea, Republic of",2023-03-08
110,,SK Siltron,Company,Electronic & Electrical Equipment,"Korea, Republic of",2023-03-08
111,,Seng Liy Engineering (M) Sdn. Bhd.,Small or Medium-sized Enterprise,Construction & Materials,Malaysia,2023-03-08
112,,Pum-Tech Korea,Company,General Industrials,"Korea, Republic of",2023-03-08
113,,Rantau PR Sdn Bhd,Small or Medium-sized Enterprise,Diversified,Malaysia,2023-03-08
114,,PureLeaf,Small or Medium-sized Enterprise,Personal Goods,Denmark,2023-03-07
115,,Chamber of Commerce and Industry of Uzbekistan,NGO Local,Not Applicable,Uzbekistan,2023-03-07
116,,Kyoto Group,Small or Medium-sized Enterprise,Alternative Energy,Norway,2023-03-07
117,,VARIO S.A.,Small or Medium-sized Enterprise,Diversified,Greece,2023-03-07
118,,Capgemini Poland,Company,Diversified,Poland,2023-03-07
119,,CUBICOFF INGENIERIA ABIERTA,Small or Medium-sized Enterprise,Industrial Engineering,Spain,2023-03-07
120,,Schneider Electric Danmark A/S,Company,Electronic & Electrical Equipment,Denmark,2023-03-07
121,,INTRAL,Small or Medium-sized Enterprise,Diversified,United States of America,2023-03-07
122,,YouScribe,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
123,,Erhvervshus Sjælland,Business Association Local,Not Applicable,Denmark,2023-03-07
124,,Ekkiden Technologies SASU,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
125,,Transports GELIN,Company,Industrial Transportation,France,2023-03-07
126,,OPTIM WORKPLACE,Small or Medium-sized Enterprise,Construction & Materials,France,2023-03-07
127,,CORDERIES TOURNONAISES,Small or Medium-sized Enterprise,General Industrials,France,2023-03-07
128,,Groupe AGPM,Company,Life Insurance,France,2023-03-07
129,,Real Club Deportivo de La Coruña S.A.D.,Small or Medium-sized Enterprise,Diversified,Spain,2023-03-07
130,,Zentralstelle für die Weiterbildung im Handwerk e. V. (ZWH),Labour Local,Not Applicable,Germany,2023-03-07
131,,Navettes et Voyages,Small or Medium-sized Enterprise,Travel & Leisure,France,2023-03-07
132,,CONSULTECH,Small or Medium-sized Enterprise,"Gas, Water & Multiutilities",France,2023-03-07
133,,DNA Script,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,France,2023-03-07
134,,GESYS Ingénierie,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
135,,Oméni,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
136,,Galloo Plastics,Small or Medium-sized Enterprise,General Industrials,France,2023-03-07
137,,Thylander,Small or Medium-sized Enterprise,Real Estate Investment & Services development,Denmark,2023-03-07
138,,Saguez & Partners,Small or Medium-sized Enterprise,Construction & Materials,France,2023-03-07
139,,Activeo,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
140,,Cleyrop,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
141,,Digimood,Small or Medium-sized Enterprise,Media,France,2023-03-07
142,,Sweden Tech Engineering AB,Small or Medium-sized Enterprise,Diversified,Sweden,2023-03-07
143,,Verdensvev AS,Small or Medium-sized Enterprise,Software & Computer Services,Norway,2023-03-07
144,,Symphony,Company,Finance and credit services,United States of America,2023-03-07
145,,ORIS,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
146,,MAJORELLE,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
147,,Qualco S.A.,Company,Software & Computer Services,Greece,2023-03-07
148,,TourCompass,Small or Medium-sized Enterprise,Travel & Leisure,Denmark,2023-03-07
149,,Carl Bechem GmbH,Company,Chemicals,Germany,2023-03-07
150,,Drive To Home,Company,Industrial Transportation,France,2023-03-07
151,,The OZ,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
152,,Happy Colis,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
153,,PROCLAIR,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
154,,Thélem Assurances,Company,Nonlife Insurance,France,2023-03-07
155,,IMBRETEX,Small or Medium-sized Enterprise,Leisure Goods,France,2023-03-07
156,,EFALIA,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
157,,CG Asset Management Limited,Small or Medium-sized Enterprise,Open end and miscellaneous investment vehicles,United Kingdom,2023-03-07
158,,CAP Holding SpA,Company,"Gas, Water & Multiutilities",Italy,2023-03-07
159,,Grayling Communications Ltd,Company,Diversified,United Kingdom,2023-03-07
160,,Bolloré Africa Logistics,Company,Industrial Transportation,France,2023-03-07
161,,Aggreko Limited,Company,Electricity,United Kingdom,2023-03-07
162,,Ballard Power Systems Inc.,Company,Electronic & Electrical Equipment,Canada,2023-03-07
163,,Gayssot Recouvrement,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
164,,Butzkies Stahlbau GmbH,Small or Medium-sized Enterprise,General Industrials,Germany,2023-03-07
165,,Hess Natur-Textilen GmbH & Co KG,Company,Leisure Goods,Germany,2023-03-07
166,,Zambelli Holding GmbH,Company,Diversified,Germany,2023-03-07
167,,ECM TECHNOLOGIES,Company,Technology Hardware & Equipment,France,2023-03-07
168,,GN'G Promotion,Small or Medium-sized Enterprise,Diversified,France,2023-03-07
169,,Norcod AS,Small or Medium-sized Enterprise,Food Producers,Norway,2023-03-07
170,,Danish Environmental and Energy Management (Dansk Miljø- & Energistyring),Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Denmark,2023-03-07
171,,mbo&co,Small or Medium-sized Enterprise,Investment banking and brokerage services,France,2023-03-07
172,,Coachello SAS,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
173,,Frontier Investment Management,Small or Medium-sized Enterprise,Alternative Energy,Denmark,2023-03-07
174,,DGS SpA,Company,Software & Computer Services,Italy,2023-03-07
175,,ISATECH,Small or Medium-sized Enterprise,Software & Computer Services,France,2023-03-07
176,,Vinjes Transport AS,Small or Medium-sized Enterprise,Diversified,Norway,2023-03-07
177,,cameleons rh,Company,Diversified,France,2023-03-07
178,,IKEA Retail Sp. z o.o.,Company,Household Goods & Home Construction,Poland,2023-03-07
179,,Fairmat,Small or Medium-sized Enterprise,General Industrials,France,2023-03-07
180,,EOS Corrugated Group SAS,Small or Medium-sized Enterprise,Industrial materials,France,2023-03-07
181,,ReLife S.p.A,Company,Diversified,Italy,2023-03-07
182,,GTT (GazTransport Technigaz),Company,Industrial Engineering,France,2023-03-07
183,,PETTENON COSMETICS SPA SOCIETA' BENEFIT,Company,Diversified,Italy,2023-03-07
184,,Arterra Wines Canada Inc.,Company,Beverages,Canada,2023-03-07
185,,Energihuset Marked AS,Small or Medium-sized Enterprise,Alternative Energy,Norway,2023-03-07
186,,OPTEL Group,Company,Software & Computer Services,Canada,2023-03-07
187,,CRUX International,Company,Diversified,Canada,2023-03-07
188,,Coletivo Di Jeje Cultura e Ensino Ltda,Small or Medium-sized Enterprise,Diversified,Brazil,2023-03-06
189,,Al Thuneayah for Development and Consulting,Small or Medium-sized Enterprise,Diversified,Jordan,2023-03-06
190,,Equalweb Brasil Soluções Digitais LTDA,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2023-03-06
191,,STRIDES EDTECH,Small or Medium-sized Enterprise,Diversified,Brazil,2023-03-06
192,,Deffinity Training Solutions (Pty) Ltd,Small or Medium-sized Enterprise,Diversified,South Africa,2023-03-06
193,,AFRO INFRA (U) LTD,Small or Medium-sized Enterprise,Construction & Materials,Uganda,2023-03-06
194,,MB92 Group,Small or Medium-sized Enterprise,Diversified,Spain,2023-03-06
195,,Aletqan Company,Small or Medium-sized Enterprise,Diversified,Libya,2023-03-06
196,,Maria-Sem-Vergonha,Micro Enterprise,Media,Brazil,2023-03-06
197,,INDRA COLOMBIA SAS,Company,Software & Computer Services,Colombia,2023-03-06
198,,Clúster de la Energía de Aragón,Business Association Local,Not Applicable,Spain,2023-03-06
199,,NATAC BIOTECH S.L.,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,Spain,2023-03-06
200,,Sunergy for Renewable Energy Solutions,Small or Medium-sized Enterprise,Alternative Energy,"Palestine, State of",2023-03-06
201,,Saudi Arabian Mining Company (Ma'aden),Company,Industrial metals and mining,Saudi Arabia,2023-03-06
202,,MONDUCTO SL,Small or Medium-sized Enterprise,"Oil, gas, & coal",Spain,2023-03-06
203,,Syntax Information Technology S.L.U.,Small or Medium-sized Enterprise,Software & Computer Services,Spain,2023-03-06
204,,Impactability,Small or Medium-sized Enterprise,Diversified,Brazil,2023-03-03
205,,Pettenati S/A Indústria Têxtil,Company,General Industrials,Brazil,2023-03-02
206,,"Ricardo & Barbosa, Lda",Small or Medium-sized Enterprise,Aerospace & Defense,Portugal,2023-03-02
207,,GoodWeave Certification Nepal,Micro Enterprise,Diversified,Nepal,2023-03-01
208,,TAI PROJECT SERVICOS DE ENGENHARIA LTDA,Small or Medium-sized Enterprise,Industrial Engineering,Brazil,2023-02-28
209,,ADBLU International FZC,Small or Medium-sized Enterprise,"Oil, gas, & coal",United Arab Emirates,2023-02-28
210,,Qodra for Development and Technological Solutions for Education,Small or Medium-sized Enterprise,Diversified,Egypt,2023-02-28
211,,Zeepay Ghana Limited,Small or Medium-sized Enterprise,Finance and credit services,Ghana,2023-02-28
212,,Dhabi Group Georgia LLC,Small or Medium-sized Enterprise,Travel & Leisure,Georgia,2023-02-28
213,,Symbion Kenya Limited,Small or Medium-sized Enterprise,Construction & Materials,Kenya,2023-02-28
214,,Intellimatch Financial Services (Pty) Ltd,Small or Medium-sized Enterprise,Finance and credit services,South Africa,2023-02-28
215,,Consultora Impacta SME,Small or Medium-sized Enterprise,Diversified,Bolivia,2023-02-28
216,,Environmental Resources Management (S) Pte Ltd,Small or Medium-sized Enterprise,Diversified,Singapore,2023-02-27
217,,Tagra Biotechnologies Ltd.,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,Israel,2023-02-27
218,,Therium Group,Small or Medium-sized Enterprise,Finance and credit services,United Kingdom,2023-02-27
219,,Musim Mas Holdings Pte. Ltd.,Company,Diversified,Singapore,2023-02-27
220,,Ente Autonomo Volturno S.r.l. A Socio Unico Regione Campania,Company,Industrial Support Services,Italy,2023-02-27
221,,AVANÇO CONSTRUÇÕES E SERVIÇOS LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2023-02-27
222,,Gharda Chemicals Limited,Company,Chemicals,India,2023-02-27
223,,"Yu Tu (Dong guan) Hardware Products Co., Ltd",Small or Medium-sized Enterprise,Diversified,China,2023-02-27
224,,Crescent Engineering (M) Sdn Bhd,Small or Medium-sized Enterprise,"Oil, gas, & coal",Malaysia,2023-02-27
225,,RABLE Holding bv,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Netherlands,2023-02-27
226,,Collaborative Excellence Sdn Bhd,Small or Medium-sized Enterprise,Software & Computer Services,Malaysia,2023-02-27
227,,Di Ciero Advogados,Small or Medium-sized Enterprise,Diversified,Brazil,2023-02-27
228,,XZ - Consultores S.A,Small or Medium-sized Enterprise,Diversified,Portugal,2023-02-27
229,,YANTAI TANGREN TRADING COMPANY,Small or Medium-sized Enterprise,Chemicals,China,2023-02-27
230,,PriMove Infrastructure Development Consultants Pvt. Ltd,Small or Medium-sized Enterprise,Diversified,India,2023-02-27
231,,Grant Thornton AG Wirtschaftsprüfungsgesellschaft,Company,Diversified,Germany,2023-02-27
232,,Nomasis AG,Small or Medium-sized Enterprise,Software & Computer Services,Switzerland,2023-02-27
233,,2 Future Holding,Small or Medium-sized Enterprise,Diversified,Brazil,2023-02-27
234,,LIGANOVA GmbH. The BrandRetail Company,Small or Medium-sized Enterprise,Media,Germany,2023-02-27
235,,Radius Payment Solutions Limited,Company,Diversified,United Kingdom,2023-02-27
236,,Missoma Ltd,Small or Medium-sized Enterprise,Retailers,United Kingdom,2023-02-27
237,,EMBATEC INDUSTRIA E COMERCIO DE EMBALAGENS LTDA,Small or Medium-sized Enterprise,General Industrials,Brazil,2023-02-27
238,,Maurer Rides GmbH,Small or Medium-sized Enterprise,Travel & Leisure,Germany,2023-02-27
239,,LIFTE H2,Small or Medium-sized Enterprise,Alternative Energy,United States of America,2023-02-27
240,,ALVAZZI GROUPE SA,Company,Construction & Materials,Switzerland,2023-02-27
241,,Prescient Healthcare Group,Company,Pharmaceuticals & Biotechnology,United Kingdom,2023-02-27
242,,GRUPO NUTEC®,Company,Food Producers,Mexico,2023-02-27
243,,Ignia Bienes Raices,Small or Medium-sized Enterprise,Real Estate Investment & Services development,Mexico,2023-02-27
244,,SoftServe Technology Services México SA de CV,Small or Medium-sized Enterprise,Software & Computer Services,Mexico,2023-02-27
245,,UNOAERRE INDUSTRIES spa,Company,General Industrials,Italy,2023-02-27
246,,AIMS International Verein zur Förderung der Zusammenarbeit von internationalen Personalberatern,Company,Diversified,Austria,2023-02-27
247,,msg systems ag,Company,Software & Computer Services,Germany,2023-02-27
248,,Atlas Value Management SL,Small or Medium-sized Enterprise,Diversified,Spain,2023-02-27
249,,LGM Financial Services Inc.,Small or Medium-sized Enterprise,Nonlife Insurance,Canada,2023-02-27
250,,GC Governance Consulting,Small or Medium-sized Enterprise,Diversified,Italy,2023-02-27
251,,Dagang NeXchange Berhad,Company,Diversified,Malaysia,2023-02-27
252,,iiyama Corporation,Small or Medium-sized Enterprise,Software & Computer Services,Netherlands,2023-02-27
253,,TEA S.p.A.,Company,"Gas, Water & Multiutilities",Italy,2023-02-27
254,,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL,Business Association Local,Not Applicable,Brazil,2023-02-24
255,,São Paulo Futebol Clube,Business Association Local,Not Applicable,Brazil,2023-02-24
256,,Nación Servicios SA,Company,Software & Computer Services,Argentina,2023-02-24
257,,NEPOS ENERGY S.A.S.,Small or Medium-sized Enterprise,Alternative Energy,Ecuador,2023-02-24
258,,Kia Ecuador,Small or Medium-sized Enterprise,Automobiles & Parts,Ecuador,2023-02-24
259,,COMPRA AGORA SERVIÇOS DIGITAIS LTDA,Small or Medium-sized Enterprise,Industrial Support Services,Brazil,2023-02-24
260,,MQI Marcas que impactan S.A.S B.I.C.,Small or Medium-sized Enterprise,Diversified,Ecuador,2023-02-23
261,,Victoria Centro Comercial Regional PH,Business Association Local,Not Applicable,Colombia,2023-02-22
262,,ELITE FACILITY MANAGEMENT S.A.S,Small or Medium-sized Enterprise,Industrial Support Services,Colombia,2023-02-22
263,,CERVECERIA NACIONAL CN S.A.,Small or Medium-sized Enterprise,Beverages,Ecuador,2023-02-22
264,,All4Labels Global Packaging Group,Company,Diversified,Germany,2023-02-22
265,,COMPAÑIA DE TRANSPORTE CARGA PESADA Y LOGISTICA TRANSPOREXA S.A.,Small or Medium-sized Enterprise,Industrial Transportation,Ecuador,2023-02-22
266,,FFW Deutschland GmbH,Small or Medium-sized Enterprise,Software & Computer Services,Germany,2023-02-22
267,,"Shanghai Enlight Education Technology Co.,LTD",Small or Medium-sized Enterprise,Diversified,China,2023-02-21
268,,Agence Foncière d'Habitation,Company,Real Estate Investment & Services development,Tunisia,2023-02-21
269,,TEAMARCH ENGINEERING CONSULTANTS CO LTD,Small or Medium-sized Enterprise,Construction & Materials,Sudan,2023-02-21
270,,Aris Mining,Company,Industrial metals and mining,Colombia,2023-02-21
271,,Nordic Talc Oy,Small or Medium-sized Enterprise,Industrial metals and mining,Finland,2023-02-21
272,,Harley-Davidson Inc.,Company,Automobiles & Parts,United States of America,2023-02-21
273,,Epic Solutions,Small or Medium-sized Enterprise,Electricity,Zimbabwe,2023-02-21
274,,The Lane Construction Corporation,Company,Construction & Materials,United States of America,2023-02-21
275,,CARGLASS S.L.,Company,Automobiles & Parts,Spain,2023-02-21
276,,Finnish Commerce Federation,Business Association Local,Not Applicable,Finland,2023-02-21
277,,Glaston Corporation,Company,Construction & Materials,Finland,2023-02-21
278,,Freedom Holding Corp.,Company,Investment banking and brokerage services,United States of America,2023-02-21
279,,Accountor Holding Oy,Company,Software & Computer Services,Finland,2023-02-21
280,,EXPLORE AI Limited,Small or Medium-sized Enterprise,Software & Computer Services,United Kingdom,2023-02-20
281,,Click Intelligence,Small or Medium-sized Enterprise,Software & Computer Services,United Kingdom,2023-02-20
282,,ECO55 LTDA,Small or Medium-sized Enterprise,Diversified,Brazil,2023-02-20
283,,ABBC - Associação Brasileira de Bancos,NGO Local,Not Applicable,Brazil,2023-02-20
284,,Universidad Autónoma de Asunción,Academic,Not Applicable,Paraguay,2023-02-20
285,,Regents Park Healthcare Ltd,Company,Medical equipment and services; Health care providers,United Kingdom,2023-02-20
286,,Opend Publicidade Ltda.,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2023-02-20
287,,Altavista,Small or Medium-sized Enterprise,General Industrials,Uruguay,2023-02-20
288,,MCT ENGENHARIA LTDA,Small or Medium-sized Enterprise,Electronic & Electrical Equipment,Brazil,2023-02-20
289,,Benkyou Consultoria Ltda.,Small or Medium-sized Enterprise,Software & Computer Services,Brazil,2023-02-20
290,,RAMOS GONÇALVES SOCIEDADE INDIVIDUAL DE ADVOCACIA,Small or Medium-sized Enterprise,Finance and credit services,Brazil,2023-02-20
291,,CM7 Comercio Servicos e Importacao,Small or Medium-sized Enterprise,Diversified,Brazil,2023-02-20
